TIM,40510,LVL8,M
TIM,34210,LVL7,M
TIM,30320,LVL6,M
TIM,20230,LVL6,M
TIM,9540,LVL1,M
TIM,7020,LVL1,I
NIK,6770,LVL2,H
TIM,6150,LVL0,M
TIM,5420,LVL1,M
TIM,4950,LVL0,M
TIM,4910,LVL0,I
TIM,3100,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TST,2410,LVL0,I
TIM,2410,LVL0,I
MAR,1680,LVL0,M
